1E BCH1A 1E Station
1E BCH2A 1E Station
1E BCH2B 1E Station
1E MONT4 1E Station
1E MONT5 1E Station
1E MONT7 1E Station
1E MONT8 1E Station
1T MTSB  MTSB
AK WAT6  AK Station
AK WAT7  AK Station
AK WRH   AK Station
AM R00C9 AM station
AM R0C83 AM station
AM R0CC5 R0CC5
AM R0D66 AM station
AM R0E05 AM station
AM R0FCE RapiShakeBoom
AM R1029 AM station
AM R1235 AM Station
AM R1388 1o Peiramatiko Sxoleio Giannena
AM R15EA AM station
AM R1719 Raspberry Shake
AM R17FF AM station
AM R1822 Mousiko Sxoleio Chaniwn
AM R1906 RapiShake3D
AM R1B7A AM station
AM R1C6C Fioliths, Zakynthos
AM R1EE2 R1EE2
AM R2AE3 Botevgrad, Bulgary
AM R2F0C AM station
AM R3397 Raspberry Shake
AM R3F8A AM station
AM R402B AM station
AM R4043 Stara Zagora, Bulgary
AM R42BE AM station
AM R47FB AM station
AM R49B6 Raspberry Shake
AM R4BB0 AM station
AM R4BE2 Perifereiako Sxoleio Giolou, Cyprus
AM R4DA4 Ruse, Bulgary
AM R4EB6 Institute of Geodynamics, National Observatory of Athens
AM R4ECA Pernik, Bulgary
AM R4F38 1o Gymnasio Vrilissiwn
AM R4FD1 AM station
AM R50D4 Raspberry Shake
AM R52CE Izmir Ozel Turk College
AM R5730 American Academy, Larnaka
AM R58D3 AM station
AM R595E Raspberry Shake
AM R5E47 AM station
AM R5F5C AM station
AM R6080 Istituto Superiore Marconi, Vairano, Patenora, CE, Italy
AM R61A8 AM station
AM R626B AM station
AM R62B3 1o Gel Ko \Ipokrateio"
AM R63E3 AM Station
AM R65C7 AM Station
AM R6E48 High School of Teaching Foreign Languages, Smolyan, Bulgaria
AM R6F1A Liceo Albert Einstein, Torino, Italy
AM R722D Language School Academic, Blagoevgrad, Bulgaria
AM R796E AM station
AM R7988 Izmir Istek Schools
AM R7D09 AM station
AM R7ECC AM station
AM R8226 AM station
AM R866C AM station
AM R875A AM station
AM R897D saddsa
AM R8BB5 AM station
AM R8EFE Raspberry Shake
AM R9928 AM Station
AM R9AC0 Gymnasio Moudrou, Limnos
AM R9AC7 Gaziantep TED College
AM R9C8C AM Station
AM R9D92 AM station
AM RA3C3 AM station
AM RA406 AM station
AM RA4CA 1o Gymnasio Kerkyras
AM RA4F7 Gymasio Egkomis, Cyprus
AM RA5F6 AM station
AM RA657 AM station
AM RA70D AM station
AM RA7D0 Raspberry Shake
AM RA887 Raspberry Shake
AM RA899 AM station
AM RAA21 Raspberry Shake
